Date,Ticker,Open,High,Low,Close,Volume,Returns,Log_Returns
2022-11-09,SAB,76252.0,77376.0,76252.0,76835.0,145633,,0.0081675778292695
2022-11-10,SAB,77251.0,77459.0,76210.0,76835.0,167769,,0.0
2022-11-11,SAB,78292.0,79916.0,77376.0,78209.0,162200,,0.017724464935746
2022-11-14,SAB,78209.0,81582.0,75794.0,81207.0,240201,,0.037616719905541
2022-11-15,SAB,81166.0,81166.0,77668.0,77668.0,159162,,-0.0445581182163757
2022-11-16,SAB,75794.0,77459.0,75294.0,75294.0,271461,,-0.0310428817759812
2022-11-17,SAB,76168.0,80541.0,74753.0,76210.0,282635,,0.0120922373217999
2022-11-18,SAB,77210.0,77251.0,74336.0,74628.0,295493,,-0.0209769157682736
2022-11-21,SAB,75794.0,76627.0,74961.0,76044.0,73479,,0.0187963482196277
2022-11-22,SAB,75252.0,77043.0,75002.0,75460.0,103209,,-0.0077094055932158
2022-11-23,SAB,75294.0,76210.0,75294.0,75794.0,54115,,0.0044164193063626
2022-11-24,SAB,76210.0,76210.0,74961.0,75169.0,152677,,-0.0082802219210976
2022-11-25,SAB,75169.0,75877.0,74919.0,74961.0,144610,,-0.0027709336320067
2022-11-28,SAB,69713.0,74961.0,69713.0,73753.0,297834,,-0.0162463059307179
2022-11-29,SAB,73795.0,74919.0,72587.0,73295.0,310923,,-0.0062292786167105
2022-11-30,SAB,74877.0,75252.0,73337.0,74961.0,288494,,0.0224755845474283
2022-12-01,SAB,74544.0,75169.0,72879.0,73045.0,378063,,-0.0258922887049454
2022-12-02,SAB,73087.0,75294.0,73087.0,73711.0,307668,,0.0090763522049267
2022-12-05,SAB,73753.0,75377.0,73753.0,74836.0,167428,,0.0151470108337679
2022-12-06,SAB,74794.0,74961.0,74086.0,74336.0,250701,,-0.0067036960351735
2022-12-07,SAB,73545.0,74919.0,73503.0,74544.0,214300,,0.0027941984864423
2022-12-08,SAB,74919.0,74961.0,73711.0,74128.0,188346,,-0.0055962264001484
2022-12-09,SAB,74669.0,74669.0,73711.0,74128.0,217859,,0.0
2022-12-12,SAB,74128.0,74919.0,74128.0,74253.0,236167,,0.0016848522326992
2022-12-13,SAB,74253.0,74753.0,74128.0,74128.0,362046,,-0.0016848522326991
2022-12-14,SAB,74711.0,74836.0,73836.0,74544.0,252382,,0.0055962264001484
2022-12-15,SAB,74586.0,74877.0,74294.0,74544.0,139733,,0.0
2022-12-16,SAB,74544.0,74544.0,73753.0,73753.0,426041,,-0.010667882715736
2022-12-19,SAB,73795.0,74336.0,72879.0,72879.0,162297,,-0.0119211406866487
2022-12-20,SAB,73049.0,74781.0,72668.0,73091.0,306574,,0.0029047084888606
2022-12-21,SAB,72880.0,74527.0,72880.0,73936.0,173011,,0.0114946139669936
2022-12-22,SAB,74063.0,75161.0,74063.0,74063.0,123350,,0.0017162282336038
2022-12-23,SAB,74739.0,74781.0,73936.0,73936.0,75318,,-0.0017162282336037
2022-12-26,SAB,74358.0,74739.0,73091.0,73091.0,220909,,-0.0114946139669936
2022-12-27,SAB,74063.0,74527.0,72457.0,72457.0,138580,,-0.0087119577039904
2022-12-28,SAB,72584.0,74570.0,72499.0,74570.0,157082,,0.028744999098777
2022-12-29,SAB,73302.0,74232.0,73049.0,73049.0,103504,,-0.0206078327066292
2022-12-30,SAB,73513.0,74316.0,70514.0,70514.0,167351,,-0.0353191771852756
2023-01-03,SAB,72288.0,73302.0,71063.0,71401.0,121713,,0.0125006031859036
2023-01-04,SAB,71485.0,73513.0,71401.0,72457.0,116979,,0.0146814076072243
2023-01-05,SAB,72668.0,77527.0,72457.0,73598.0,255431,,0.0156245689956432
2023-01-06,SAB,74865.0,77147.0,73598.0,76344.0,130314,,0.0366315916623831
2023-01-09,SAB,75837.0,76893.0,74274.0,75879.0,47064,,-0.0061094768381947
2023-01-10,SAB,75921.0,76133.0,74401.0,74401.0,101469,,-0.0196705836678243
2023-01-11,SAB,76048.0,76851.0,76048.0,76471.0,155165,,0.0274422013853659
2023-01-12,SAB,76893.0,76893.0,75626.0,75964.0,30404,,-0.006652040142301
